,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,area
48619,7310547136,21945,2018-01-01,ford,edge,excellent,6,gas,91666.0,clean,automatic,4wd,SUV,mw
48620,7310547135,15995,2010-01-01,lexus,gs 350,excellent,6,gas,47253.0,clean,automatic,rwd,sedan,mw
48621,7310521823,22000,2018-01-01,jeep,grand cherokee,like new,6,gas,129000.0,clean,automatic,4wd,SUV,mw
48622,7310503478,49995,2015-01-01,ford,f-450 sd,good,8,diesel,119732.0,clean,automatic,4wd,truck,mw
48623,7310501405,13495,2015-01-01,buick,regal 2.5 i4 turbo,good,4,gas,61978.0,clean,automatic,fwd,sedan,mw
48624,7310458197,12225,2017-01-01,ford,fusion hybrid se,like new,4,gas,109900.0,clean,automatic,fwd,sedan,mw
48625,7310423070,15900,2017-01-01,chevrolet,cruse,like new,4,gas,25000.0,clean,automatic,fwd,hatchback,mw
48626,7310422394,29590,2018-01-01,kia,sorento sx sport utility 4d,good,6,gas,29771.0,clean,automatic,fwd,other,mw
48627,7310413369,4500,2011-01-01,chevrolet,malibu ls,good,4,gas,180000.0,clean,automatic,fwd,sedan,mw
48628,7310405808,27986,2018-01-01,bmw,x1 xdrive28i sport utility,like new,4,gas,41000.0,clean,automatic,4wd,SUV,mw
48629,7310358497,26995,2019-01-01,jeep,cherokee,excellent,6,gas,31524.0,clean,automatic,4wd,SUV,mw
48630,7310357891,30995,2017-01-01,ford,explorer,excellent,6,gas,69072.0,clean,automatic,4wd,wagon,mw
48631,7310357870,10965,2016-01-01,ford,fusion,excellent,4,gas,156925.0,clean,automatic,fwd,sedan,mw
48632,7310313511,7500,2011-01-01,chevrolet,impala,excellent,6,gas,105000.0,clean,automatic,fwd,sedan,mw
48633,7310288525,15500,2012-01-01,lexus,rx350 awd,excellent,6,gas,113000.0,clean,automatic,4wd,SUV,mw
48634,7310286149,9950,2011-01-01,ford,edge limited awd,excellent,6,gas,136000.0,clean,automatic,4wd,SUV,mw
48635,7310283272,23500,2016-01-01,buick,enclave,excellent,6,gas,66000.0,clean,automatic,4wd,SUV,mw
48636,7310278309,19900,2016-01-01,jeep,grand cherokee,excellent,6,gas,107000.0,clean,automatic,4wd,SUV,mw
48637,7310277647,10700,2013-01-01,ford,escape awd,excellent,4,gas,95000.0,clean,automatic,4wd,SUV,mw
48638,7310272335,11995,2013-01-01,ford,escape se,excellent,4,gas,87300.0,clean,automatic,4wd,SUV,mw
48639,7310272177,11995,2016-01-01,kia,soul,excellent,4,gas,63000.0,clean,automatic,fwd,SUV,mw
48640,7310229270,5550,2002-01-01,chevrolet,malibu ls,excellent,4,gas,84000.0,clean,automatic,fwd,sedan,mw
48641,7310229171,4450,2008-01-01,ford,focus se,excellent,4,gas,155000.0,clean,automatic,fwd,coupe,mw
48642,7310167726,10000,2011-01-01,gmc,arcadia,excellent,6,gas,81500.0,clean,automatic,4wd,SUV,mw
48643,7310088243,13495,2010-01-01,ford,f-150 xlt,excellent,8,gas,163000.0,clean,automatic,4wd,truck,mw
48644,7310087016,4995,2013-01-01,chevrolet,spark ls,excellent,4,gas,123000.0,clean,automatic,fwd,hatchback,mw
48645,7310086208,9995,2014-01-01,kia,sportage ex,excellent,4,gas,120000.0,clean,automatic,fwd,SUV,mw
48646,7310077034,8650,2011-01-01,mercedes-benz,benz,excellent,6,gas,136200.0,clean,automatic,4wd,sedan,mw
48647,7310048775,7900,2008-01-01,jeep,grand cherokee,excellent,6,gas,84897.0,clean,automatic,4wd,SUV,mw
48648,7310042185,10400,2011-01-01,dodge,journey crew,excellent,6,gas,69000.0,clean,automatic,fwd,SUV,mw
48649,7310029186,18500,2014-01-01,cadillac,srx,excellent,6,gas,81000.0,clean,automatic,4wd,SUV,mw
48650,7310027113,8900,2011-01-01,ford,fusion,excellent,4,gas,8900.0,clean,automatic,fwd,SUV,mw
48651,7310014361,27955,2014-01-01,cadillac,escalade,excellent,8,gas,105041.0,clean,automatic,4wd,SUV,mw
48652,7310014310,39995,2014-01-01,gmc,sierra 2500hd,excellent,8,diesel,181089.0,clean,automatic,4wd,truck,mw
48653,7310009929,13400,2009-01-01,ford,f150 fx4,excellent,8,gas,155000.0,clean,automatic,4wd,truck,mw
48654,7310008116,18775,2004-01-01,ford,econoline,excellent,8,gas,8572.0,clean,automatic,rwd,van,mw
48655,7310008122,17975,2015-01-01,ford,f-150,excellent,8,gas,160876.0,clean,automatic,4wd,truck,mw
48656,7309999100,8995,2014-01-01,chrysler,town & country,excellent,6,gas,113000.0,clean,automatic,fwd,van,mw
48657,7309997307,11995,2014-01-01,chevrolet,traverse lt,excellent,6,gas,131470.0,clean,automatic,4wd,SUV,mw
48658,7309981127,9995,2016-01-01,kia,forte lx,excellent,4,gas,63000.0,clean,automatic,fwd,sedan,mw
48659,7309974545,9999,2018-01-01,kia,forte,good,4,gas,39808.0,rebuilt,automatic,fwd,sedan,mw
48660,7309954778,19500,2017-01-01,subaru,wrx,like new,4,gas,72000.0,lien,manual,4wd,sedan,mw
48661,7309876153,20590,2013-01-01,infiniti,g g37 sport coupe 2d,good,6,gas,57181.0,clean,other,rwd,coupe,mw
48662,7309858082,16988,2015-01-01,chevrolet,camaro ls,like new,6,gas,81000.0,clean,automatic,rwd,coupe,mw
48663,7309821144,33866,2017-01-01,chevrolet,silverado 1500 lt 4x4,like new,8,gas,79000.0,clean,automatic,4wd,truck,mw
48664,7309820328,12800,2015-01-01,gmc,terrain,like new,4,gas,106000.0,clean,automatic,4wd,SUV,mw
48665,7309781406,38700,2015-01-01,ford,f350,excellent,8,gas,61000.0,clean,automatic,4wd,truck,mw
48666,7309780819,37995,2019-01-01,jaguar,e-pace,excellent,4,gas,30961.0,clean,automatic,4wd,SUV,mw
48667,7309780804,51945,2019-01-01,chevrolet,silverado 1500,excellent,8,gas,7061.0,clean,automatic,4wd,truck,mw
48668,7309775430,17800,2011-01-01,ram,sport,excellent,8,gas,130000.0,clean,automatic,4wd,truck,mw
48669,7309774518,4750,2006-01-01,honda,civic,excellent,4,gas,151000.0,clean,automatic,fwd,coupe,mw
