,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,area
18227,7314323246,3499,2001-01-01,honda,accord,good,4,gas,164000.0,clean,automatic,fwd,sedan,ne
18228,7314161766,11000,2013-01-01,toyota,rav4,good,4,gas,131000.0,clean,automatic,4wd,SUV,ne
18229,7314124004,6300,2007-01-01,ford,explorer,good,8,gas,109000.0,clean,automatic,4wd,SUV,ne
18230,7313997515,4000,2009-01-01,subaru,legacy outback limited,excellent,4,gas,170000.0,clean,automatic,4wd,hatchback,ne
18231,7313780213,39990,2019-01-01,nissan,370z nismo coupe 2d,good,6,gas,8373.0,clean,other,rwd,coupe,ne
18232,7313775772,35990,2020-01-01,dodge,challenger r/t coupe 2d,good,8,gas,1548.0,clean,other,rwd,coupe,ne
18233,7313552987,4200,2008-01-01,pontiac,g6,excellent,4,gas,130000.0,clean,automatic,fwd,sedan,ne
18234,7313499350,8000,2008-01-01,bmw,328xi,excellent,6,gas,77319.0,clean,automatic,4wd,coupe,ne
18235,7313294142,6495,2006-01-01,ford,explorer eddie bauer 4x4,new,8,gas,167000.0,clean,automatic,4wd,SUV,ne
18236,7313148996,27500,2010-01-01,chevrolet,silverado 2500hd,excellent,8,diesel,127381.0,clean,automatic,4wd,truck,ne
18237,7313148775,28400,2017-01-01,bmw,3 series,excellent,4,gas,18201.0,clean,automatic,4wd,wagon,ne
18238,7313148749,23900,2016-01-01,rover,discovery sport,excellent,4,gas,60412.0,clean,automatic,4wd,SUV,ne
18239,7313148745,11900,2011-01-01,toyota,sienna,excellent,6,gas,115501.0,clean,automatic,4wd,wagon,ne
18240,7313148724,19800,2015-01-01,ford,explorer,excellent,6,gas,96281.0,clean,automatic,4wd,wagon,ne
18241,7313148638,8900,2013-01-01,honda,civic sdn,excellent,4,gas,103255.0,clean,automatic,fwd,sedan,ne
18242,7313148618,22800,2013-01-01,rover,evoque,excellent,4,gas,74541.0,clean,automatic,4wd,hatchback,ne
18243,7313148609,25900,2017-01-01,bmw,x4,excellent,6,gas,123096.0,clean,automatic,4wd,wagon,ne
18244,7313148592,29900,2016-01-01,bmw,5 series gran turismo,excellent,6,gas,52941.0,clean,automatic,4wd,hatchback,ne
18245,7313148580,12800,2013-01-01,subaru,outback,excellent,4,gas,78458.0,clean,automatic,4wd,wagon,ne
18246,7313148574,22900,2014-01-01,mercedes-benz,e-class,excellent,6,gas,53551.0,clean,automatic,4wd,sedan,ne
18247,7313148575,10995,2005-01-01,mercedes-benz,s-class,excellent,8,gas,82008.0,clean,automatic,4wd,sedan,ne
18248,7313148504,22995,2014-01-01,bmw,5 series,excellent,8,gas,98013.0,clean,automatic,4wd,sedan,ne
18249,7313148379,21900,2016-01-01,volvo,xc60,excellent,5,gas,64569.0,clean,automatic,4wd,wagon,ne
18250,7313148350,36900,2009-01-01,mercedes-benz,sl-class,excellent,8,gas,29984.0,clean,automatic,rwd,convertible,ne
18251,7313115397,19000,2003-01-01,chevrolet,corvette convertible,like new,8,gas,73000.0,clean,automatic,rwd,convertible,ne
18252,7313023483,8500,2012-01-01,volvo,s60 t5,excellent,5,gas,98000.0,clean,automatic,fwd,sedan,ne
18253,7312984994,5700,2006-01-01,ford,crown victoria,excellent,8,gas,106000.0,clean,automatic,rwd,sedan,ne
18254,7312844053,5795,2010-01-01,ford,focus se,new,4,gas,89000.0,clean,automatic,fwd,sedan,ne
18255,7312736373,34990,2020-01-01,jeep,wrangler sport suv 2d,good,6,gas,3181.0,clean,other,4wd,other,ne
18256,7312700704,23500,2014-01-01,ford,f250 super duty,excellent,8,gas,117852.0,clean,automatic,4wd,sedan,ne
18257,7312601957,39999,2008-01-01,ford,f550 super duty,like new,8,diesel,62000.0,clean,automatic,4wd,truck,ne
18258,7312412058,16500,2006-01-01,nissan,350z,excellent,6,gas,61250.0,clean,manual,rwd,convertible,ne
18259,7312281405,15999,2008-01-01,gmc,sierra 1500,excellent,8,gas,131507.0,clean,automatic,4wd,pickup,ne
18260,7312273883,32990,2018-01-01,ford,mustang gt coupe 2d,good,8,gas,27726.0,clean,other,rwd,coupe,ne
18261,7312244133,8950,2014-01-01,subaru,xv crosstrek premium 4wd,excellent,4,gas,159672.0,clean,automatic,4wd,SUV,ne
18262,7312202977,8000,2010-01-01,chrysler,town & country,good,6,gas,108120.0,clean,automatic,fwd,mini-van,ne
18263,7312022156,7000,2004-01-01,ford,f-150 stepside,good,8,gas,165000.0,clean,automatic,4wd,truck,ne
18264,7311989204,8495,2013-01-01,ford,escape se eco boost,new,4,gas,142000.0,clean,automatic,4wd,SUV,ne
18265,7311826794,4350,2009-01-01,subaru,legacy outback limited,excellent,4,gas,170000.0,clean,automatic,4wd,hatchback,ne
18266,7311796071,23900,2013-01-01,jeep,wrangler unlimited,excellent,6,gas,62300.0,clean,automatic,4wd,other,ne
18267,7311784133,39590,2017-01-01,chevrolet,camaro ss coupe 2d,good,8,gas,10496.0,clean,other,rwd,coupe,ne
18268,7311784000,29590,2017-01-01,ford,expedition xlt sport,good,6,gas,70760.0,clean,other,4wd,SUV,ne
18269,7311731768,5500,2010-01-01,volkswagen,jetta 2.5l se,excellent,5,gas,189000.0,clean,automatic,fwd,sedan,ne
18270,7311708406,12800,2013-01-01,subaru,outback,excellent,4,gas,78458.0,clean,automatic,4wd,wagon,ne
