,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,area
53,7316867506,13950,2006-01-01,lexus,gx470,good,8,gas,178790.0,clean,automatic,4wd,SUV,south
54,7316852517,21250,2002-01-01,ford,thunderbird,new,8,gas,15996.0,clean,automatic,fwd,convertible,south
55,7316788533,26990,2017-01-01,nissan,titan single cab sv,good,8,gas,41335.0,clean,other,4wd,pickup,south
56,7316544266,32000,2008-01-01,chevrolet,silverado 2500,good,8,diesel,109600.0,clean,automatic,4wd,truck,south
57,7316482063,4000,2002-01-01,toyota,echo,excellent,4,gas,155000.0,clean,automatic,fwd,sedan,south
58,7316471857,3000,2004-01-01,chevrolet,blazer,good,6,gas,131500.0,clean,automatic,4wd,SUV,south
59,7316419757,12500,2008-01-01,gmc,yukon xl,excellent,8,gas,177326.0,clean,automatic,rwd,SUV,south
60,7316368518,27990,2012-01-01,gmc,sierra 2500 hd extended cab,good,8,gas,68696.0,clean,other,4wd,pickup,south
61,7316337545,10990,2011-01-01,mercedes-benz,ml350,excellent,6,gas,119172.0,clean,automatic,4wd,SUV,south
62,7316282669,8100,2011-01-01,ford,escape,excellent,6,hybrid,140000.0,clean,automatic,fwd,SUV,south
63,7316160104,29990,2016-01-01,chevrolet,colorado extended cab,good,6,gas,17302.0,clean,other,4wd,pickup,south
64,7316160083,35590,2010-01-01,chevrolet,corvette convertible,good,8,gas,31879.0,clean,other,rwd,other,south
65,7316065114,6800,2004-01-01,mercedes-benz,clk320,good,6,gas,116700.0,clean,automatic,rwd,convertible,south
66,7316031977,45000,2017-01-01,chevrolet,silverado,excellent,8,gas,92000.0,clean,automatic,4wd,truck,south
67,7315946365,9000,2008-01-01,mazda,miata mx-5,excellent,4,gas,56700.0,clean,automatic,rwd,convertible,south
68,7315873690,31990,2017-01-01,jeep,wrangler sport s utility 2d,good,6,gas,891.0,clean,other,4wd,other,south
69,7315826388,32990,2017-01-01,jeep,wrangler unlimited sport,good,6,gas,30041.0,clean,other,4wd,other,south
70,7315472435,39590,2020-01-01,ford,mustang gt premium coupe 2d,good,8,gas,1419.0,clean,other,rwd,coupe,south
71,7315387122,19500,2008-01-01,ram,3500,good,6,diesel,161000.0,clean,manual,4wd,truck,south
72,7315354216,8950,2011-01-01,ford,f-150,excellent,6,gas,164000.0,clean,automatic,fwd,truck,south
73,7315345469,50000,2019-01-01,toyota,tundra,like new,8,gas,20010.0,clean,automatic,4wd,truck,south
74,7315329101,8888,2005-01-01,nissan,altima 3.5 sl,excellent,6,gas,53320.0,clean,automatic,fwd,sedan,south
75,7315110575,9400,2008-01-01,mercedes-benz,benz c350,good,6,gas,129473.0,clean,automatic,rwd,sedan,south
76,7315094967,7900,2013-01-01,nissan,pathfinder,good,6,gas,152400.0,clean,automatic,fwd,SUV,south
77,7314967754,7300,2007-01-01,lexus,rx350,good,6,gas,181000.0,clean,automatic,fwd,SUV,south
78,7314956487,72900,2021-01-01,chevrolet,tahoe,good,8,gas,19129.0,clean,automatic,4wd,SUV,south
79,7314956410,28900,2017-01-01,audi,q7,good,6,gas,94601.0,clean,automatic,4wd,SUV,south
80,7314956329,17000,2019-01-01,chevrolet,trax,good,4,gas,14898.0,clean,automatic,4wd,SUV,south
81,7314938392,5950,2007-01-01,mitsubishi,eclipse,good,4,gas,72000.0,clean,manual,fwd,hatchback,south
82,7314893113,8900,2013-01-01,toyota,prius,excellent,4,hybrid,142900.0,clean,automatic,fwd,wagon,south
83,7314885483,39990,2019-01-01,nissan,370z nismo coupe 2d,good,6,gas,8373.0,clean,other,rwd,coupe,south
84,7314833347,4000,2002-01-01,toyota,camry,like new,4,gas,160000.0,clean,automatic,fwd,sedan,south
85,7314847158,10800,2013-01-01,toyota,camry,excellent,4,hybrid,147000.0,clean,automatic,fwd,sedan,south
86,7314831178,5500,2008-01-01,nissan,altima,like new,4,gas,150000.0,clean,automatic,fwd,sedan,south
87,7314759358,34990,2018-01-01,ram,1500 quad cab big horn,good,6,other,22064.0,clean,other,4wd,pickup,south
88,7314664527,36990,2018-01-01,toyota,4runner sr5 sport utility,good,6,gas,21415.0,clean,other,4wd,other,south
89,7314664521,30990,2017-01-01,nissan,frontier crew cab pro-4x,good,6,gas,31095.0,clean,other,4wd,pickup,south
90,7314656633,16000,2016-01-01,dodge,charger,like new,6,gas,62000.0,clean,automatic,rwd,sedan,south
91,7314592793,40000,2017-01-01,chevrolet,tahoe,like new,8,gas,68000.0,clean,automatic,rwd,SUV,south
92,7314589649,10500,2008-01-01,infiniti,ex35,good,6,gas,122904.0,clean,automatic,rwd,wagon,south
93,7314584193,9500,2014-01-01,toyota,prius v hybrid,good,4,gas,136128.0,clean,automatic,fwd,hatchback,south
94,7314583885,12900,2014-01-01,nissan,rogue sv,good,4,gas,120211.0,clean,automatic,fwd,SUV,south
95,7314565277,3200,2006-01-01,chevrolet,trailblazer,good,6,gas,178762.0,clean,automatic,rwd,SUV,south
96,7314334186,6950,2011-01-01,volkswagen,jetta,excellent,5,gas,116000.0,clean,automatic,fwd,sedan,south
97,7314312719,8995,2005-01-01,nissan,altima 3.5 sl,excellent,6,gas,53320.0,clean,automatic,fwd,sedan,south
98,7314293077,48900,2018-01-01,chevrolet,silverado 2500 hd ltz,like new,8,diesel,43034.0,rebuilt,automatic,4wd,truck,south
99,7314278078,9988,2014-01-01,kia,sorento lx,good,4,gas,121259.0,clean,automatic,fwd,SUV,south
100,7314277945,24888,2019-01-01,ford,f150 regular cab xl,excellent,6,gas,8176.0,clean,automatic,rwd,pickup,south
101,7314276424,16888,2008-01-01,toyota,fj cruiser 4x4,good,6,gas,188096.0,clean,automatic,4wd,SUV,south
102,7314276144,19888,2015-01-01,mercedes-benz,benz ml 450,excellent,6,gas,111261.0,clean,automatic,4wd,SUV,south
103,7314275948,31888,2015-01-01,gmc,1500 yukon slt,good,8,gas,109947.0,clean,automatic,rwd,SUV,south
104,7313898024,9990,2015-01-01,toyota,corolla le,excellent,4,gas,125224.0,clean,automatic,fwd,sedan,south
105,7313897256,29950,2014-01-01,gmc,sierra 1500,excellent,8,gas,139029.0,clean,automatic,4wd,truck,south
106,7313896887,9990,2009-01-01,lexus,rx350,excellent,6,gas,163230.0,clean,automatic,fwd,SUV,south
